n_estimators,max_depth,min_samples_split,class_weight,ROC_AUC,Balanced_Accuracy,Precision_0,Precision_1,Recall_0,Recall_1,F1_0,F1_1,TN,FP,FN,TP
200,,5,balanced,0.8200640499142637,0.7371900171472212,0.6993006993006993,0.9327385037748799,0.5050505050505051,0.9693295292439372,0.5865102639296188,0.950682056663169,100,98,43,1359
200,,2,,0.8193039525065202,0.7458644937246934,0.6887417218543046,0.935127674258109,0.5252525252525253,0.9664764621968617,0.5959885386819485,0.9505436688881095,104,94,47,1355
100,10.0,5,balanced,0.8180341215291287,0.7891288058905748,0.40166204986149584,0.9572235673930589,0.7323232323232324,0.8459343794579173,0.518783542039356,0.8981446421809921,145,53,216,1186
400,,2,,0.8168021153042551,0.7505295465352526,0.7191780821917808,0.9360385144429161,0.5303030303030303,0.9707560627674751,0.6104651162790697,0.9530812324929971,105,93,41,1361
100,,2,,0.816168100404905,0.728929811668756,0.6533333333333333,0.9310344827586207,0.494949494949495,0.9629101283880172,0.5632183908045977,0.9467040673211781,98,100,52,1350
400,10.0,5,balanced,0.8161356791884609,0.7919530540785891,0.41739130434782606,0.9569721115537848,0.7272727272727273,0.8566333808844507,0.5303867403314917,0.9040270982310877,144,54,201,1201
200,10.0,2,balanced_subsample,0.8160600296834246,0.7890135304543293,0.42857142857142855,0.955153422501967,0.7121212121212122,0.8659058487874465,0.5351043643263758,0.9083426861204639,141,57,188,1214
200,5.0,2,balanced_subsample,0.8159627660340928,0.5686681364284788,0.14263074484944532,0.9467455621301775,0.9090909090909091,0.2282453637660485,0.2465753424657534,0.367816091954023,180,18,1082,320
200,5.0,5,balanced_subsample,0.8159303448176486,0.5708367555728469,0.14319620253164558,0.9494047619047619,0.9141414141414141,0.2275320970042796,0.2476060191518468,0.3670886075949367,181,17,1083,319
200,10.0,5,balanced,0.8158835141716739,0.7833362152192395,0.40226628895184136,0.9550922213311949,0.7171717171717171,0.8495007132667618,0.515426497277677,0.89920724801812,142,56,211,1191
100,10.0,5,balanced_subsample,0.8158366835256994,0.7724931194973992,0.39941690962099125,0.9514717581543357,0.6919191919191919,0.8530670470756063,0.5064695009242144,0.8995863106430989,137,61,206,1196
200,5.0,2,balanced,0.8152783181313852,0.5726487413363305,0.143646408839779,0.9519519519519519,0.9191919191919192,0.2261055634807418,0.2484641638225256,0.3654178674351585,182,16,1085,317
200,5.0,5,balanced,0.8149036729635875,0.5693814031902477,0.14285714285714285,0.9470588235294117,0.9090909090909091,0.2296718972895863,0.24691358024691357,0.36969001148105624,180,18,1080,322
400,5.0,5,balanced_subsample,0.8148712517471433,0.5697668554301936,0.14285714285714285,0.948948948948949,0.9141414141414141,0.2253922967189729,0.24709897610921502,0.3642651296829971,181,17,1086,316
400,5.0,2,balanced_subsample,0.8148244211011686,0.5719066557155003,0.14353687549563837,0.9498525073746312,0.9141414141414141,0.2296718972895863,0.2481151473612063,0.36990235496840895,181,17,1080,322
100,10.0,2,balanced_subsample,0.8147847951699593,0.7793267914523263,0.4088235294117647,0.9531746031746032,0.702020202020202,0.8566333808844507,0.516728624535316,0.9023290758827949,139,59,201,1201
400,10.0,2,balanced_subsample,0.8145434372253203,0.7875581780717301,0.4307692307692308,0.9545098039215686,0.7070707070707071,0.8680456490727532,0.5353728489483748,0.9092267463578633,140,58,185,1217
