n_estimators,max_depth,min_samples_split,class_weight,ROC_AUC,Balanced_Accuracy,Precision_0,Precision_1,Recall_0,Recall_1,F1_0,F1_1,TN,FP,FN,TP
400,5.0,5,balanced_subsample,0.7999863110419458,0.5714059280393089,0.14402618657937807,0.9417989417989417,0.8888888888888888,0.25392296718972895,0.24788732394366197,0.4,176,22,1046,356
400,5.0,5,balanced,0.7996188705889133,0.573574547183677,0.14460784313725492,0.9441489361702128,0.8939393939393939,0.25320970042796004,0.2489451476793249,0.39932508436445446,177,21,1047,355
400,5.0,2,balanced_subsample,0.7994099338607185,0.5757431663280451,0.14518760195758565,0.946524064171123,0.898989898989899,0.2524964336661912,0.25,0.39864864864864863,178,20,1048,354
400,5.0,2,balanced,0.7990641075519821,0.573574547183677,0.14460784313725492,0.9441489361702128,0.8939393939393939,0.25320970042796004,0.2489451476793249,0.39932508436445446,177,21,1047,355
400,10.0,5,balanced,0.7986318246660615,0.7462571506794047,0.3611111111111111,0.9451612903225807,0.6565656565656566,0.8359486447931527,0.4659498207885305,0.8872066616199848,130,68,230,1172
400,10.0,2,balanced,0.7984517067969279,0.7450719751005057,0.3806646525679758,0.9432624113475178,0.6363636363636364,0.8537803138373752,0.4763705103969754,0.8962935230250842,126,72,205,1197
200,,5,,0.797464660874076,0.7214405106701826,0.5730994152046783,0.9300209937018894,0.494949494949495,0.9479315263908702,0.5311653116531165,0.9388908512892971,98,100,73,1329
400,,5,,0.7971404487096355,0.7135081197135406,0.5621301775147929,0.9280223619846262,0.4797979797979798,0.9472182596291013,0.5177111716621253,0.9375220614189904,95,103,74,1328
400,10.0,5,,0.7969747402700327,0.6931908240752749,0.6434108527131783,0.9218218898708361,0.41919191919191917,0.9671897289586305,0.5076452599388379,0.9439610163592064,83,115,46,1356
100,,5,,0.7969585296618106,0.7174887246213922,0.5574712643678161,0.9291725105189341,0.4898989898989899,0.9450784593437945,0.521505376344086,0.937057991513437,97,101,77,1325
400,10.0,5,balanced_subsample,0.7967261776106285,0.7523487370135016,0.3732193732193732,0.9463570856685348,0.6616161616161617,0.8430813124108416,0.4772313296903461,0.8917389664277631,131,67,220,1182
200,10.0,5,balanced_subsample,0.7965568668136429,0.7379104886237553,0.36443148688046645,0.9419252187748608,0.6313131313131313,0.8445078459343794,0.46210720887245843,0.8905603610379842,125,73,218,1184
400,,2,,0.7963353218346086,0.7120527673309414,0.5696969696969697,0.9275261324041811,0.47474747474747475,0.949358059914408,0.5179063360881543,0.9383151216073317,94,104,71,1331
200,5.0,5,balanced,0.7963335206559172,0.5703072090375942,0.1437962202136401,0.9399477806788512,0.8838383838383839,0.25677603423680456,0.24734982332155478,0.40336134453781514,175,23,1042,360
200,5.0,5,balanced_subsample,0.796160607501549,0.5710492946584245,0.1439084219133279,0.9416445623342176,0.8888888888888888,0.25320970042796004,0.24771287825475016,0.3991006183249016,176,22,1047,355
200,5.0,2,balanced,0.7956418680384444,0.567810775371403,0.14297385620915032,0.9388297872340425,0.8838383838383839,0.25178316690442226,0.24613220815752462,0.39707536557930256,175,23,1049,353
200,5.0,2,balanced_subsample,0.7956346633236792,0.5685528609922332,0.14308943089430895,0.9405405405405406,0.8888888888888888,0.24821683309557774,0.24649859943977592,0.3927765237020316,176,22,1054,348
200,10.0,5,balanced,0.7951087191458089,0.750208936728195,0.36694677871148457,0.9460981496379727,0.6616161616161617,0.8388017118402282,0.4720720720720721,0.8892249527410208,131,67,226,1176
100,10.0,2,,0.7951087191458089,0.6986267813657258,0.6231884057971014,0.9233926128590971,0.43434343434343436,0.9629101283880172,0.5119047619047619,0.9427374301675978,86,112,52,1350
400,10.0,2,balanced_subsample,0.7946872433320364,0.7450431562414443,0.38699690402476783,0.9428347689898199,0.6313131313131313,0.8587731811697575,0.4798464491362764,0.898842851810377,125,73,198,1204
200,10.0,2,balanced,0.7942117321575239,0.7421900891943688,0.3776435045317221,0.9424743892829,0.6313131313131313,0.8530670470756063,0.4725897920604915,0.8955447397978286,125,73,206,1196
400,10.0,2,,0.7941360826524877,0.7169879969452009,0.6814814814814815,0.9276450511945392,0.46464646464646464,0.9693295292439372,0.5525525525525525,0.9480292989187303,92,106,43,1359
100,5.0,5,balanced,0.7939595671407369,0.5663842418478653,0.14250814332247558,0.9381720430107527,0.8838383838383839,0.24893009985734665,0.24544179523141654,0.39346110484780156,175,23,1053,349
200,10.0,2,,0.7936461620484445,0.7090844248476202,0.6382978723404256,0.9259766963673749,0.45454545454545453,0.963623395149786,0.5309734513274337,0.9444250262146103,90,108,51,1351
100,5.0,2,balanced,0.7936173431893832,0.5642444415625586,0.14181523500810372,0.9371584699453552,0.8838383838383839,0.24465049928673324,0.24441340782122906,0.38800904977375567,175,23,1059,343
400,5.0,2,,0.7935813196155564,0.6039208057752994,0.875,0.8994845360824743,0.21212121212121213,0.9957203994293866,0.34146341463414637,0.9451591062965471,42,156,6,1396
400,5.0,5,,0.7934012017464229,0.6064460583005519,0.8775510204081632,0.9000644745325597,0.21717171717171718,0.9957203994293866,0.3481781376518219,0.945479173721639,43,155,6,1396
200,,2,balanced_subsample,0.7932012709116846,0.6664829464401505,0.6260869565217392,0.9151515151515152,0.36363636363636365,0.9693295292439372,0.46006389776357826,0.9414617249740215,72,126,43,1359
100,10.0,5,balanced_subsample,0.7931490367296359,0.7350574215766797,0.3561253561253561,0.9415532425940752,0.6313131313131313,0.8388017118402282,0.4553734061930783,0.8872123726895511,125,73,226,1176
100,5.0,5,balanced_subsample,0.7928428363521087,0.5642444415625586,0.14181523500810372,0.9371584699453552,0.8838383838383839,0.24465049928673324,0.24441340782122906,0.38800904977375567,175,23,1059,343
100,5.0,2,balanced_subsample,0.7926555137682099,0.563887808181674,0.1417004048582996,0.936986301369863,0.8838383838383839,0.24393723252496433,0.24424284717376135,0.3870967741935484,175,23,1060,342
400,,5,balanced,0.7919710658655024,0.7203417916684678,0.5843373493975904,0.9295676429567643,0.4898989898989899,0.9507845934379457,0.532967032967033,0.9400564174894217,97,101,69,1333
100,5.0,5,,0.791963861150737,0.6161904350206775,0.8703703703703703,0.9023285899094438,0.23737373737373738,0.9950071326676176,0.373015873015873,0.94640434192673,47,151,7,1395
100,5.0,2,,0.7915099641205204,0.6086146774449199,0.8627450980392157,0.9005810200129115,0.2222222222222222,0.9950071326676176,0.3534136546184739,0.9454422229752626,44,154,7,1395
100,10.0,2,balanced_subsample,0.791459531117163,0.7400214700500007,0.3768996960486322,0.9417781274586939,0.6262626262626263,0.8537803138373752,0.47058823529411764,0.8956228956228957,124,74,205,1197
200,5.0,2,,0.7913766768973617,0.6140218158763094,0.8846153846153846,0.9018087855297158,0.23232323232323232,0.9957203994293866,0.368,0.9464406779661017,46,152,6,1396
200,5.0,5,,0.79123978731682,0.6161904350206775,0.8703703703703703,0.9023285899094438,0.23737373737373738,0.9950071326676176,0.373015873015873,0.94640434192673,47,151,7,1395
200,10.0,5,,0.7910956930215133,0.6920921050735601,0.6612903225806451,0.9214092140921409,0.41414141414141414,0.9700427960057061,0.5093167701863354,0.9451007644197359,82,116,42,1360
100,10.0,5,balanced,0.7910344529460078,0.7444739837749823,0.3561643835616438,0.9449392712550607,0.6565656565656566,0.8323823109843081,0.46181172291296624,0.8850967007963595,130,68,235,1167
200,10.0,2,balanced_subsample,0.7905265205550512,0.7385661176674015,0.37846153846153846,0.9411764705882353,0.6212121212121212,0.8559201141226819,0.47036328871892924,0.8965259618976467,123,75,202,1200
400,,2,balanced_subsample,0.7902005072119194,0.6884681335465929,0.6779661016949152,0.9203778677462888,0.40404040404040403,0.9728958630527818,0.5063291139240507,0.9459084604715673,80,118,38,1364
100,10.0,2,balanced,0.7901050447412786,0.7418910935316071,0.3649425287356322,0.9432907348242812,0.6414141414141414,0.8423680456490727,0.4652014652014652,0.8899773926149209,127,71,221,1181
400,,2,balanced,0.7896223288520007,0.6888247669274773,0.6837606837606838,0.9204315576534052,0.40404040404040403,0.9736091298145506,0.5079365079365079,0.9462738301559792,80,118,37,1365
200,,2,,0.7887307453997896,0.717074453522385,0.5974842767295597,0.9285218598195697,0.4797979797979798,0.9543509272467903,0.5322128851540616,0.9412592332043616,95,103,64,1338
400,,5,balanced_subsample,0.7885704404962608,0.7199851582875834,0.5808383233532934,0.9295184926727146,0.4898989898989899,0.9500713266761769,0.5315068493150685,0.9396825396825397,97,101,70,1332
100,10.0,5,,0.7879508350264415,0.6928341906943905,0.6384615384615384,0.9217687074829932,0.41919191919191917,0.9664764621968617,0.5060975609756098,0.9435933147632312,83,115,47,1355
100,,2,,0.7866683957982104,0.7030216573725846,0.569620253164557,0.9251040221914009,0.45454545454545453,0.9514978601997147,0.5056179775280899,0.9381153305203939,90,108,68,1334
100,,5,balanced_subsample,0.7865026873586074,0.7077443479012666,0.5502958579881657,0.9266247379454927,0.4696969696969697,0.9457917261055635,0.5068119891008175,0.9361101306036004,93,105,76,1326
200,,5,balanced,0.7864630614273981,0.7200139771466447,0.56,0.9298245614035088,0.494949494949495,0.9450784593437945,0.5254691689008043,0.937389458790237,98,100,77,1325
200,,2,balanced,0.7857533970230118,0.6790803902073517,0.6785714285714286,0.918010752688172,0.3838383838383838,0.9743223965763196,0.49032258064516127,0.9453287197231834,76,122,36,1366
200,,5,balanced_subsample,0.7844421389357195,0.7070022622804364,0.5644171779141104,0.9262352122477383,0.46464646464646464,0.949358059914408,0.5096952908587258,0.9376541035575907,92,106,71,1331
100,,2,balanced_subsample,0.7836171990950879,0.6592638222452774,0.6216216216216216,0.9133646742780389,0.3484848484848485,0.9700427960057061,0.44660194174757284,0.9408509166378416,69,129,42,1360
100,,5,balanced,0.7821582443551061,0.710655052666465,0.536723163841808,0.9276177090653549,0.4797979797979798,0.9415121255349501,0.5066666666666667,0.9345132743362832,95,103,82,1320
100,,2,balanced,0.7819799276646638,0.685586247640456,0.6694915254237288,0.9197031039136302,0.398989898989899,0.9721825962910129,0.5,0.9452149791955617,79,119,39,1363
